NAME                          STATUS                        LOCATION                      DETAILS
=======================================================================================================

Lilla                         BORED                         Abandoned Prison              Will rule the kingdom
Millicent                     FIGHTS FOR LIFE               High Mountain                 Will rule the kingdom
Greer                         EATEN                         Heaven                        Sassy
Libby                         SLAYED THE DRAGON HERSELF     Library                       Likes books
Lurette                       FIGHTS FOR LIFE               Ancient Ruins                 Can cook
Ashlie                        IN PANIC                      High Mountain                 Sassy
Cookie                        INJURED                       Abandoned Prison              Will rule the kingdom
Calida                        BORED                         Misty Swamp                   Sassy
Hermia                        EATEN                         Heaven                        Sassy
Bunnie                        EATEN                         Heaven                        Can cook
Marni                         FIGHTS FOR LIFE               Old Shack                     Will rule the kingdom
Shell                         SLAYED THE DRAGON HERSELF     Town Hall                     Sassy
Yoshi                         EATEN                         Underworld                    Can cook
Dulcine                       INJURED                       Abandoned Prison              Can cook
Simonette                     FIGHTS FOR LIFE               Abandoned Prison              Afraid of spiders
Cassy                         BORED                         Ancient Ruins                 Can cook
Jaquelyn                      SAVED                         Town Hall                     Programmer
Lucila                        FIGHTS FOR LIFE               Dungeon                       Afraid of spiders
Dulsea                        SAVED                         Castle                        Sassy
Loralyn                       SAVED                         Town Hall                     None
Jocelyn                       EATEN                         Heaven                        Likes books
Priscilla                     IN PANIC                      Ancient Ruins                 Pretty
Ketty                         IN PANIC                      Dungeon                       Likes books
Lonna                         SAVED                         Castle                        Afraid of spiders
Lucille                       SAVED                         Pub                           Programmer
Andi                          SLAYED THE DRAGON HERSELF     Library                       Pretty
Binnie                        BORED                         Ancient Ruins                 Sassy
Trudi                         FIGHTS FOR LIFE               Dungeon                       Will rule the kingdom
Julietta                      IN PANIC                      Abandoned Prison              Likes books
Augustine                     EATEN                         Underworld                    Pretty
Brigid                        SLAYED THE DRAGON HERSELF     Library                       Likes books
Emmalynne                     SLAYED THE DRAGON HERSELF     Pub                           Can cook
Danny                         BORED                         Dark Cave                     Afraid of spiders
Gayel                         SAVED                         Castle                        Afraid of spiders
Ada                           BORED                         Abandoned Prison              Pretty
Coral                         EATEN                         Heaven                        Programmer
Cherish                       SAVED                         Castle                        Likes books
Seka                          INJURED                       Misty Swamp                   Sassy
Corette                       INJURED                       Dark Cave                     Sassy
Meade                         FIGHTS FOR LIFE               Dungeon                       Pretty
Sher                          IN PANIC                      Misty Swamp                   Programmer
Prudence                      EATEN                         Heaven                        Pretty
Tyne                          SLAYED THE DRAGON HERSELF     Town Hall                     Likes books
Ardys                         EATEN                         Underworld                    Pretty
Merilee                       IN PANIC                      Abandoned Prison              Afraid of spiders
Lyndel                        IN PANIC                      Misty Swamp                   Sassy
Leonore                       SLAYED THE DRAGON HERSELF     Pub                           Likes books
Farica                        EATEN                         Underworld                    Likes books
Minda                         EATEN                         Underworld                    Likes books
Paulette                      INJURED                       Dark Cave                     Can cook
Kris                          IN PANIC                      Ancient Ruins                 Sassy
Arlyn                         BORED                         Old Shack                     Programmer
Candida                       IN PANIC                      Old Shack                     Sassy
Carol-jean                    IN PANIC                      High Mountain                 Likes books
Loreen                        FIGHTS FOR LIFE               Ancient Ruins                 Sassy
Abigale                       SAVED                         Castle                        Programmer
